strategy,symbol,train_rank,train_sharpe,train_return_pct,overfit_pct,p_fast_ma,p_slow_ma,p_rsi_period,p_vol_threshold,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate_pct,profit_factor,buy_hold_return_pct,vs_benchmark_pct,p_bb_period,p_bb_std,p_rsi_oversold,p_rsi_overbought,p_lookback,p_atr_mult,p_rsi_buy,p_rsi_sell
momentum,US.TQQQ,5,0.3731,150.61,-226.1,8.0,15.0,10.0,1.0,270.83,47.35,23.21,1.2166,1.8467,2.0404,26,61.54,2.5191,455.87,-185.04,,,,,,,,
breakout,US.SOXL,7,-0.2118,-18.6,672.2,,,,1.5,373.13,58.36,38.17,1.212,2.0479,1.529,4,100.0,inf,652.72,-279.59,,,,,10.0,1.5,,
breakout,US.TQQQ,5,-0.3698,-14.17,427.0,,,,1.2,222.64,41.41,31.56,1.2092,1.9117,1.3118,9,55.56,5.3986,455.87,-233.23,,,,,10.0,1.5,,
breakout,US.SOXL,2,0.2144,58.37,-460.5,,,,1.2,539.8,73.14,53.73,1.2018,1.8702,1.3613,10,80.0,7.9925,652.72,-112.92,,,,,10.0,1.5,,
momentum,US.TQQQ,8,0.316,116.09,-240.4,8.0,15.0,10.0,1.3,180.92,35.73,20.6,1.0758,1.6298,1.7349,22,54.55,2.4633,455.87,-274.95,,,,,,,,
breakout,US.SOXL,4,-0.0481,-28.76,2317.9,,,,1.2,390.24,60.03,44.82,1.0668,1.6891,1.3393,9,77.78,11.2587,652.72,-262.48,,,,,20.0,1.5,,
mean_reversion,US.SOXL,1,0.4605,218.05,-129.7,,,10.0,,440.14,64.69,50.19,1.0578,1.6943,1.2889,21,76.19,5.8129,652.72,-212.58,20.0,2.0,25.0,70.0,,,,
mean_reversion,US.SOXL,2,0.4605,218.05,-129.7,,,10.0,,440.14,64.69,50.19,1.0578,1.6943,1.2889,21,76.19,5.8129,652.72,-212.58,20.0,2.0,25.0,75.0,,,,
mean_reversion,US.SOXL,3,0.4579,211.25,-126.8,,,10.0,,430.87,63.84,50.17,1.0386,1.6358,1.2726,25,80.0,5.7035,652.72,-221.86,20.0,2.0,30.0,70.0,,,,
mean_reversion,US.SOXL,4,0.4579,211.25,-126.8,,,10.0,,430.87,63.84,50.17,1.0386,1.6358,1.2726,25,80.0,5.7035,652.72,-221.86,20.0,2.0,30.0,75.0,,,,
breakout,US.TQQQ,6,-0.4924,-19.52,310.6,,,,1.2,185.62,36.4,28.83,1.0371,1.5846,1.2623,8,75.0,13.3928,455.87,-270.25,,,,,10.0,2.0,,
rsi_reversal,US.SOXL,2,0.3383,85.19,-189.4,,,5.0,,388.67,59.88,58.78,0.979,1.5642,1.0186,60,61.67,2.0311,652.72,-264.05,,,,,,,25.0,75.0
rsi_reversal,US.SOXL,1,0.3383,85.19,-189.4,,,5.0,,388.67,59.88,58.78,0.979,1.5642,1.0186,60,61.67,2.0311,652.72,-264.05,,,,,,,25.0,70.0
rsi_reversal,US.SOXL,4,0.2941,42.0,-229.1,,,5.0,,382.82,59.31,59.0,0.968,1.5394,1.0052,64,62.5,1.9455,652.72,-269.9,,,,,,,30.0,75.0
rsi_reversal,US.SOXL,3,0.2941,42.0,-229.1,,,5.0,,382.82,59.31,59.0,0.968,1.5394,1.0052,64,62.5,1.9455,652.72,-269.9,,,,,,,30.0,70.0
breakout,US.SOXL,8,-0.2244,-23.13,530.3,,,,1.5,208.05,39.48,39.81,0.9656,1.5984,0.9917,3,100.0,inf,652.72,-444.68,,,,,20.0,1.5,,
breakout,US.TQQQ,3,-0.2824,-4.47,433.8,,,,1.2,148.08,30.83,31.11,0.9427,1.4328,0.991,8,37.5,3.3218,455.87,-307.79,,,,,20.0,1.5,,
momentum,US.TQQQ,6,0.3636,144.26,-154.4,5.0,15.0,14.0,1.0,159.41,32.57,24.33,0.9249,1.3995,1.3389,27,55.56,2.0383,455.87,-296.46,,,,,,,,
mean_reversion,US.SOXL,6,0.4303,182.4,-114.6,,,14.0,,309.67,51.75,50.11,0.9233,1.4645,1.0329,17,76.47,4.7254,652.72,-343.05,20.0,2.0,30.0,75.0,,,,
mean_reversion,US.SOXL,5,0.4303,182.4,-114.6,,,14.0,,309.67,51.75,50.11,0.9233,1.4645,1.0329,17,76.47,4.7254,652.72,-343.05,20.0,2.0,30.0,70.0,,,,
breakout,US.QQQ,6,-0.9835,-26.97,188.1,,,,1.2,56.86,14.24,9.74,0.8664,1.2937,1.4615,5,80.0,72.3286,132.17,-75.32,,,,,20.0,2.0,,
momentum,US.QQQ,6,-0.1908,22.49,550.4,5.0,15.0,14.0,1.3,53.31,13.47,8.43,0.8594,1.2972,1.5987,20,60.0,3.6996,132.17,-78.87,,,,,,,,
momentum,US.SOXL,7,0.4356,200.4,-96.1,8.0,20.0,14.0,1.0,252.7,45.18,43.16,0.854,1.2939,1.0469,18,38.89,1.911,652.72,-400.02,,,,,,,,
momentum,US.TQQQ,10,0.3094,113.26,-174.0,8.0,15.0,14.0,1.3,123.06,26.78,22.43,0.8477,1.2676,1.1937,18,61.11,2.4375,455.87,-332.81,,,,,,,,
breakout,US.TQQQ,4,-0.3349,-9.75,350.6,,,,1.2,134.97,28.75,28.77,0.8392,1.2498,0.9991,6,83.33,10.8184,455.87,-320.9,,,,,20.0,2.0,,
breakout,US.QQQ,4,-0.9387,-23.71,189.0,,,,1.2,51.67,13.11,12.56,0.8356,1.2701,1.0438,8,50.0,6.7295,132.17,-80.5,,,,,20.0,1.5,,
mean_reversion,US.SOXL,7,0.4107,161.25,-100.2,,,14.0,,234.76,42.96,50.18,0.8222,1.2928,0.8561,15,80.0,4.4513,652.72,-417.97,20.0,2.0,25.0,70.0,,,,
mean_reversion,US.SOXL,8,0.4107,161.25,-100.2,,,14.0,,234.76,42.96,50.18,0.8222,1.2928,0.8561,15,80.0,4.4513,652.72,-417.97,20.0,2.0,25.0,75.0,,,,
momentum,US.TQQQ,2,0.4181,180.65,-93.8,5.0,15.0,10.0,1.0,141.07,29.73,30.39,0.8101,1.2195,0.9781,34,47.06,1.6444,455.87,-314.8,,,,,,,,
momentum,US.SOXL,1,0.5653,397.2,-31.6,8.0,15.0,10.0,1.0,193.28,37.47,64.48,0.7439,1.0982,0.5811,27,44.44,1.4139,652.72,-459.44,,,,,,,,
breakout,US.QQQ,1,-0.6287,11.03,217.2,,,,1.5,47.26,12.13,9.38,0.7366,1.1237,1.2924,3,100.0,inf,132.17,-84.91,,,,,20.0,2.0,,
breakout,US.QQQ,5,-0.9558,-22.49,176.4,,,,1.2,48.36,12.38,13.71,0.7305,1.0853,0.9025,12,58.33,4.709,132.17,-83.81,,,,,10.0,1.5,,
mean_reversion,US.TQQQ,2,0.3863,158.2,-86.5,,,14.0,,122.53,26.69,33.08,0.7203,1.1673,0.807,19,68.42,3.3553,455.87,-333.34,15.0,2.0,25.0,75.0,,,,
mean_reversion,US.TQQQ,1,0.3863,158.2,-86.5,,,14.0,,122.53,26.69,33.08,0.7203,1.1673,0.807,19,68.42,3.3553,455.87,-333.34,15.0,2.0,25.0,70.0,,,,
momentum,US.TNA,2,0.2611,84.61,-165.2,8.0,15.0,10.0,1.0,120.9,26.42,32.09,0.6925,1.0699,0.8231,25,56.0,2.288,62.79,58.11,,,,,,,,
rsi_reversal,US.SOXL,8,-0.031,-48.83,2322.6,,,7.0,,159.86,32.64,60.72,0.689,1.0444,0.5376,33,69.7,1.9088,652.72,-492.86,,,,,,,25.0,75.0
rsi_reversal,US.SOXL,7,-0.031,-48.83,2322.6,,,7.0,,159.86,32.64,60.72,0.689,1.0444,0.5376,33,69.7,1.9088,652.72,-492.86,,,,,,,25.0,70.0
momentum,US.SOXL,6,0.4539,226.67,-50.2,5.0,15.0,14.0,1.3,155.58,31.99,49.04,0.6816,1.0258,0.6522,31,48.39,1.5441,652.72,-497.14,,,,,,,,
momentum,US.SOXL,5,0.4667,240.34,-45.3,5.0,15.0,14.0,1.0,154.82,31.87,64.31,0.678,1.0118,0.4956,36,41.67,1.3092,652.72,-497.91,,,,,,,,
rsi_reversal,US.TQQQ,2,0.1753,26.92,-286.0,,,5.0,,122.69,26.72,47.66,0.6767,1.0458,0.5606,63,52.38,1.5301,455.87,-333.18,,,,,,,25.0,75.0
rsi_reversal,US.TQQQ,1,0.1753,26.92,-286.0,,,5.0,,122.69,26.72,47.66,0.6767,1.0458,0.5606,63,52.38,1.5301,455.87,-333.18,,,,,,,25.0,70.0
mean_reversion,US.TQQQ,10,0.2088,39.57,-224.0,,,10.0,,115.03,25.41,33.09,0.6765,1.0755,0.768,22,72.73,3.0001,455.87,-340.84,15.0,2.0,25.0,75.0,,,,
mean_reversion,US.TQQQ,9,0.2088,39.57,-224.0,,,10.0,,115.03,25.41,33.09,0.6765,1.0755,0.768,22,72.73,3.0001,455.87,-340.84,15.0,2.0,25.0,70.0,,,,
mean_reversion,US.TQQQ,4,0.2723,74.92,-142.6,,,14.0,,110.15,24.56,33.09,0.6606,1.0564,0.7424,20,65.0,2.9293,455.87,-345.72,15.0,2.0,30.0,75.0,,,,
mean_reversion,US.TQQQ,3,0.2723,74.92,-142.6,,,14.0,,110.15,24.56,33.09,0.6606,1.0564,0.7424,20,65.0,2.9293,455.87,-345.72,15.0,2.0,30.0,70.0,,,,
momentum,US.SOXL,10,0.4019,168.72,-63.6,5.0,15.0,10.0,1.0,141.94,29.86,61.08,0.6574,0.9689,0.489,28,46.43,1.4458,652.72,-510.78,,,,,,,,
momentum,US.TQQQ,9,0.3138,115.07,-102.0,5.0,20.0,14.0,1.3,86.4,20.22,22.89,0.6339,0.909,0.8835,13,61.54,1.8343,455.87,-369.47,,,,,,,,
momentum,US.QQQ,7,-0.2072,19.35,403.2,5.0,15.0,14.0,1.0,43.15,11.19,12.47,0.6283,0.9311,0.8973,24,50.0,2.3821,132.17,-89.02,,,,,,,,
rsi_reversal,US.SOXL,5,0.221,17.95,-183.6,,,7.0,,130.85,28.07,61.64,0.6267,0.9378,0.4555,41,63.41,1.5333,652.72,-521.87,,,,,,,30.0,70.0
rsi_reversal,US.SOXL,6,0.221,17.95,-183.6,,,7.0,,130.85,28.07,61.64,0.6267,0.9378,0.4555,41,63.41,1.5333,652.72,-521.87,,,,,,,30.0,75.0
momentum,US.TQQQ,7,0.3368,128.09,-83.6,8.0,20.0,14.0,1.3,85.24,20.0,26.35,0.6184,0.8809,0.759,13,61.54,2.5403,455.87,-370.63,,,,,,,,
momentum,US.TNA,1,0.2616,78.43,-130.4,8.0,15.0,14.0,1.0,98.18,22.42,42.36,0.6026,0.9357,0.5294,26,57.69,1.9841,62.79,35.39,,,,,,,,
breakout,US.QQQ,2,-0.7822,2.59,176.6,,,,1.5,37.89,9.97,9.88,0.5995,0.9382,1.0088,3,66.67,29.7823,132.17,-94.28,,,,,20.0,1.5,,
breakout,US.SPY,4,-0.7695,-5.62,177.0,,,,1.2,34.34,9.12,8.21,0.5922,0.8429,1.1107,10,50.0,9.3744,86.09,-51.75,,,,,10.0,1.5,,
mean_reversion,US.TQQQ,5,0.234,51.94,-148.0,,,10.0,,93.8,21.62,33.07,0.5804,0.9053,0.6537,25,76.0,2.6554,455.87,-362.07,15.0,2.0,30.0,70.0,,,,
mean_reversion,US.TQQQ,6,0.234,51.94,-148.0,,,10.0,,93.8,21.62,33.07,0.5804,0.9053,0.6537,25,76.0,2.6554,455.87,-362.07,15.0,2.0,30.0,75.0,,,,
mean_reversion,US.SOXL,10,0.3382,77.35,-70.6,,,14.0,,108.64,24.3,50.11,0.577,0.8721,0.4849,19,63.16,2.2791,652.72,-544.08,20.0,1.5,30.0,75.0,,,,
mean_reversion,US.SOXL,9,0.3382,77.35,-70.6,,,14.0,,108.64,24.3,50.11,0.577,0.8721,0.4849,19,63.16,2.2791,652.72,-544.08,20.0,1.5,30.0,70.0,,,,
breakout,US.TQQQ,8,-0.6709,0.04,185.0,,,,1.5,54.73,13.78,19.54,0.5702,0.8887,0.7055,1,100.0,inf,455.87,-401.14,,,,,10.0,2.0,,
breakout,US.TQQQ,7,-0.5492,5.27,203.8,,,,1.5,54.73,13.78,19.54,0.5702,0.8887,0.7055,1,100.0,inf,455.87,-401.14,,,,,10.0,1.5,,
breakout,US.TQQQ,2,-0.2578,12.72,321.2,,,,1.5,54.73,13.78,19.54,0.5702,0.8887,0.7055,1,100.0,inf,455.87,-401.14,,,,,20.0,2.0,,
breakout,US.TQQQ,1,-0.1587,29.29,459.3,,,,1.5,54.73,13.78,19.54,0.5702,0.8887,0.7055,1,100.0,inf,455.87,-401.14,,,,,20.0,1.5,,
momentum,US.QQQ,1,0.0815,50.4,-589.8,5.0,20.0,14.0,1.3,38.91,10.21,9.01,0.5622,0.8262,1.1331,16,56.25,2.9734,132.17,-93.26,,,,,,,,
momentum,US.TQQQ,1,0.4213,173.73,-32.9,5.0,15.0,10.0,1.3,73.49,17.7,30.47,0.5601,0.8285,0.5808,27,40.74,1.491,455.87,-382.38,,,,,,,,
momentum,US.TQQQ,4,0.3803,150.59,-39.7,5.0,15.0,14.0,1.3,65.86,16.14,22.47,0.5311,0.7588,0.7183,19,47.37,1.5645,455.87,-390.01,,,,,,,,
breakout,US.SOXL,6,-0.1399,-28.8,468.4,,,,1.5,74.16,17.83,24.5,0.5154,0.8222,0.7279,3,100.0,inf,652.72,-578.56,,,,,10.0,2.0,,
mean_reversion,US.TQQQ,7,0.2145,38.32,-140.2,,,14.0,,77.01,18.4,33.1,0.5153,0.8241,0.5558,14,85.71,4.0305,455.87,-378.87,20.0,2.0,25.0,70.0,,,,
mean_reversion,US.TQQQ,8,0.2145,38.32,-140.2,,,14.0,,77.01,18.4,33.1,0.5153,0.8241,0.5558,14,85.71,4.0305,455.87,-378.87,20.0,2.0,25.0,75.0,,,,
momentum,US.SPY,1,-0.1283,32.06,491.7,5.0,15.0,10.0,1.0,33.52,8.93,8.06,0.5025,0.7257,1.1075,23,39.13,2.8561,86.09,-52.57,,,,,,,,
rsi_reversal,US.TQQQ,6,-0.1564,-58.68,409.3,,,7.0,,72.54,17.51,40.37,0.4838,0.7424,0.4337,33,72.73,1.695,455.87,-383.34,,,,,,,25.0,75.0
rsi_reversal,US.TQQQ,5,-0.1564,-58.68,409.3,,,7.0,,72.54,17.51,40.37,0.4838,0.7424,0.4337,33,72.73,1.695,455.87,-383.34,,,,,,,25.0,70.0
rsi_reversal,US.SPY,2,-0.4815,-9.69,199.9,,,5.0,,35.93,9.5,14.86,0.4809,0.7777,0.6393,64,68.75,2.902,86.09,-50.16,,,,,,,25.0,75.0
rsi_reversal,US.SPY,1,-0.4815,-9.69,199.9,,,5.0,,35.93,9.5,14.86,0.4809,0.7777,0.6393,64,68.75,2.902,86.09,-50.16,,,,,,,25.0,70.0
momentum,US.TQQQ,3,0.3896,161.02,-23.0,8.0,20.0,14.0,1.0,67.1,16.4,33.87,0.4792,0.6878,0.4841,19,52.63,1.6589,455.87,-388.77,,,,,,,,
breakout,US.SOXL,1,0.2485,64.08,-89.4,,,,1.2,70.37,17.07,49.73,0.4707,0.6773,0.3432,9,66.67,2.0121,652.72,-582.35,,,,,10.0,2.0,,
rsi_reversal,US.TQQQ,3,0.1508,10.2,-207.2,,,5.0,,69.29,16.85,49.22,0.4632,0.7036,0.3423,69,50.72,1.2305,455.87,-386.58,,,,,,,30.0,70.0
rsi_reversal,US.TQQQ,4,0.1508,10.2,-207.2,,,5.0,,69.29,16.85,49.22,0.4632,0.7036,0.3423,69,50.72,1.2305,455.87,-386.58,,,,,,,30.0,75.0
momentum,US.TNA,7,0.0776,10.65,-467.9,8.0,20.0,14.0,1.0,61.58,15.25,33.64,0.4407,0.6682,0.4533,18,50.0,1.7763,62.79,-1.21,,,,,,,,
momentum,US.QQQ,10,-0.2208,21.92,299.0,8.0,20.0,10.0,1.3,35.47,9.39,10.92,0.4393,0.6115,0.8602,17,64.71,2.2644,132.17,-96.71,,,,,,,,
momentum,US.SOXL,2,0.5195,317.46,16.6,8.0,15.0,14.0,1.0,53.25,13.46,63.84,0.4334,0.6221,0.2108,28,42.86,1.0783,652.72,-599.47,,,,,,,,
momentum,US.QQQ,5,-0.161,24.84,368.3,5.0,20.0,10.0,1.3,34.64,9.2,10.64,0.432,0.6147,0.8646,18,55.56,2.5699,132.17,-97.53,,,,,,,,
breakout,US.QQQ,3,-0.8801,-10.6,148.7,,,,1.2,34.63,9.19,10.19,0.4289,0.6212,0.9021,11,63.64,6.6392,132.17,-97.54,,,,,10.0,2.0,,
breakout,US.SPY,2,-0.6433,11.59,166.1,,,,1.2,29.8,8.02,9.72,0.4249,0.5962,0.8253,9,66.67,12.1335,86.09,-56.29,,,,,10.0,2.0,,
momentum,US.TNA,5,0.1429,38.58,-194.5,8.0,20.0,10.0,1.0,58.59,14.61,39.06,0.4208,0.6494,0.3741,21,47.62,1.5591,62.79,-4.2,,,,,,,,
momentum,US.SOXL,9,0.4071,178.01,-2.5,8.0,15.0,10.0,1.3,55.1,13.86,64.03,0.4173,0.5937,0.2165,20,55.0,1.4467,652.72,-597.62,,,,,,,,
momentum,US.QQQ,9,-0.2116,19.12,295.2,5.0,20.0,10.0,1.0,35.67,9.44,11.96,0.4131,0.5881,0.7894,23,52.17,2.226,132.17,-96.5,,,,,,,,
momentum,US.SPY,6,-0.2604,23.64,239.0,5.0,15.0,10.0,1.3,27.56,7.47,8.02,0.362,0.5272,0.9304,19,36.84,2.9265,86.09,-58.53,,,,,,,,
momentum,US.SPY,9,-0.2776,20.52,227.8,8.0,20.0,14.0,1.3,26.82,7.28,6.86,0.3547,0.5096,1.0609,15,60.0,5.0236,86.09,-59.27,,,,,,,,
